ap,dv,ml,region_acronym,region_id
8133.0,4581.0,6898.0,MRN,128
8133.0,4581.0,6898.0,MRN,128
8131.0,4561.0,6905.0,MRN,128
8131.0,4561.0,6905.0,MRN,128
8128.0,4540.0,6912.0,MRN,128
8128.0,4540.0,6912.0,MRN,128
8126.0,4520.0,6920.0,MRN,128
8126.0,4520.0,6920.0,MRN,128
8124.0,4500.0,6927.0,MRN,128
8124.0,4500.0,6927.0,MRN,128
8124.0,4484.0,6942.0,MRN,128
8124.0,4484.0,6942.0,MRN,128
8124.0,4467.0,6956.0,MRN,128
8124.0,4467.0,6956.0,MRN,128
8124.0,4449.0,6968.0,MRN,128
8124.0,4449.0,6968.0,MRN,128
8124.0,4431.0,6980.0,MRN,128
8124.0,4431.0,6980.0,MRN,128
8124.0,4412.0,6992.0,MRN,128
8124.0,4412.0,6992.0,MRN,128
8124.0,4394.0,7003.0,MRN,128
8124.0,4394.0,7003.0,MRN,128
8124.0,4373.0,7010.0,MRN,128
8124.0,4373.0,7010.0,MRN,128
8124.0,4352.0,7017.0,MRN,128
8124.0,4352.0,7017.0,MRN,128
8124.0,4332.0,7024.0,MRN,128
8124.0,4332.0,7024.0,MRN,128
8124.0,4312.0,7033.0,MRN,128
8124.0,4312.0,7033.0,MRN,128
8124.0,4292.0,7043.0,MRN,128
8124.0,4292.0,7043.0,MRN,128
8124.0,4273.0,7053.0,MRN,128
8124.0,4273.0,7053.0,MRN,128
8124.0,4257.0,7068.0,MRN,128
8124.0,4257.0,7068.0,MRN,128
8124.0,4242.0,7084.0,MRN,128
8124.0,4242.0,7084.0,MRN,128
8124.0,4226.0,7099.0,MRN,128
8124.0,4226.0,7099.0,MRN,128
8124.0,4207.0,7110.0,MRN,128
8124.0,4207.0,7110.0,MRN,128
8124.0,4188.0,7119.0,MRN,128
8124.0,4188.0,7119.0,MRN,128
8124.0,4168.0,7129.0,MRN,128
8124.0,4168.0,7129.0,MRN,128
8124.0,4149.0,7139.0,MRN,128
8124.0,4149.0,7139.0,MRN,128
8124.0,4129.0,7149.0,MB,313
8124.0,4129.0,7149.0,MB,313
8112.0,4115.0,7157.0,MB,313
8112.0,4115.0,7157.0,MB,313
8096.0,4103.0,7166.0,MB,313
8096.0,4103.0,7166.0,MB,313
8080.0,4091.0,7174.0,TH,549
8080.0,4091.0,7174.0,TH,549
8063.0,4079.0,7182.0,TH,549
8063.0,4079.0,7182.0,TH,549
8047.0,4067.0,7190.0,POL,1029
8047.0,4067.0,7190.0,POL,1029
8031.0,4055.0,7199.0,POL,1029
8031.0,4055.0,7199.0,POL,1029
8024.0,4038.0,7205.0,POL,1029
8024.0,4038.0,7205.0,POL,1029
8024.0,4017.0,7210.0,POL,1029
8024.0,4017.0,7210.0,POL,1029
8024.0,3996.0,7215.0,TH,549
8024.0,3996.0,7215.0,TH,549
8024.0,3974.0,7220.0,TH,549
8024.0,3974.0,7220.0,TH,549
8024.0,3953.0,7225.0,TH,549
8024.0,3953.0,7225.0,TH,549
8024.0,3933.0,7232.0,MB,313
8024.0,3933.0,7232.0,MB,313
8024.0,3914.0,7238.0,MB,313
8024.0,3914.0,7238.0,MB,313
8024.0,3894.0,7245.0,MB,313
8024.0,3894.0,7245.0,MB,313
8024.0,3875.0,7251.0,APN,215
8024.0,3875.0,7251.0,APN,215
8028.0,3855.0,7252.0,APN,215
8028.0,3855.0,7252.0,APN,215
8034.0,3835.0,7252.0,APN,215
8034.0,3835.0,7252.0,APN,215
8039.0,3815.0,7252.0,APN,215
8039.0,3815.0,7252.0,APN,215
8044.0,3795.0,7252.0,APN,215
8044.0,3795.0,7252.0,APN,215
8049.0,3775.0,7252.0,APN,215
8049.0,3775.0,7252.0,APN,215
8050.0,3756.0,7258.0,APN,215
8050.0,3756.0,7258.0,APN,215
8050.0,3736.0,7264.0,APN,215
8050.0,3736.0,7264.0,APN,215
8050.0,3717.0,7271.0,APN,215
8050.0,3717.0,7271.0,APN,215
8050.0,3698.0,7277.0,APN,215
8050.0,3698.0,7277.0,APN,215
8050.0,3679.0,7286.0,APN,215
8050.0,3679.0,7286.0,APN,215
8050.0,3661.0,7296.0,APN,215
8050.0,3661.0,7296.0,APN,215
8050.0,3642.0,7302.0,APN,215
